
"{'loss': 0.35386228561401367, 'acc': 0.8369542956352234, 'val_loss': 0.255797415971756, 'val_acc': 0.8993744900734294, 'val_aupr': 0.9505246429541765, 'val_auc': 0.9587059393762593, 'val_f1': 0.9029126213592235, 'kfold': 1, 'epoch_count': 1}"
"{'loss': 0.151736319065094, 'acc': 0.9448014497756958, 'val_loss': 0.24716344475746155, 'val_acc': 0.9082132172967092, 'val_aupr': 0.9554868407627082, 'val_auc': 0.9639274105081653, 'val_f1': 0.9101078705553336, 'kfold': 1, 'epoch_count': 2}"
"{'loss': 0.08084403723478317, 'acc': 0.9739052057266235, 'val_loss': 0.27936726808547974, 'val_acc': 0.911884688604841, 'val_aupr': 0.9552025344112267, 'val_auc': 0.9634906421737143, 'val_f1': 0.9138297872340425, 'kfold': 1, 'epoch_count': 3}"
"{'loss': 0.05774852633476257, 'acc': 0.9828981161117554, 'val_loss': 0.3309938907623291, 'val_acc': 0.9060375305955942, 'val_aupr': 0.9549622388240773, 'val_auc': 0.9603559695210409, 'val_f1': 0.9088270220345692, 'kfold': 1, 'epoch_count': 4}"
"{'loss': 0.050143882632255554, 'acc': 0.9861621260643005, 'val_loss': 0.3434678912162781, 'val_acc': 0.9023660592874626, 'val_aupr': 0.9556730213386094, 'val_auc': 0.961065967699262, 'val_f1': 0.9046227417640808, 'kfold': 1, 'epoch_count': 5}"
"{'loss': 0.04195164144039154, 'acc': 0.9876241087913513, 'val_loss': 0.38120391964912415, 'val_acc': 0.9005983138428066, 'val_aupr': 0.9513265118371251, 'val_auc': 0.9584393294759158, 'val_f1': 0.9027019832290696, 'kfold': 1, 'epoch_count': 6}"
"{'loss': 0.03920470550656319, 'acc': 0.9880831241607666, 'val_loss': 0.3777649700641632, 'val_acc': 0.8973347837911341, 'val_aupr': 0.9505605427684308, 'val_auc': 0.9579643207978725, 'val_f1': 0.9003563415599841, 'kfold': 1, 'epoch_count': 7}"
"{'loss': 0.3560018539428711, 'acc': 0.8364866375923157, 'val_loss': 0.24227885901927948, 'val_acc': 0.9046647626818985, 'val_aupr': 0.9573295667742052, 'val_auc': 0.9635425784669251, 'val_f1': 0.9043003412969283, 'kfold': 2, 'epoch_count': 1}"
"{'loss': 0.14872249960899353, 'acc': 0.9456881880760193, 'val_loss': 0.23977620899677277, 'val_acc': 0.9162246702026384, 'val_aupr': 0.9610820514867225, 'val_auc': 0.9677746388623544, 'val_f1': 0.9163725224002173, 'kfold': 2, 'epoch_count': 2}"
"{'loss': 0.08222675323486328, 'acc': 0.9737365245819092, 'val_loss': 0.2685680687427521, 'val_acc': 0.9087447300421596, 'val_aupr': 0.9570295855929442, 'val_auc': 0.9645910485662893, 'val_f1': 0.9093610698365527, 'kfold': 2, 'epoch_count': 3}"
"{'loss': 0.0627671331167221, 'acc': 0.9817260503768921, 'val_loss': 0.2859036922454834, 'val_acc': 0.9091527267781858, 'val_aupr': 0.9556230541632609, 'val_auc': 0.9643013689305087, 'val_f1': 0.9088925259138025, 'kfold': 2, 'epoch_count': 4}"
"{'loss': 0.05212079733610153, 'acc': 0.9851428866386414, 'val_loss': 0.3146958351135254, 'val_acc': 0.9033047735618115, 'val_aupr': 0.9526107226748516, 'val_auc': 0.9613529259862981, 'val_f1': 0.9030410473203327, 'kfold': 2, 'epoch_count': 5}"
"{'loss': 0.04441259428858757, 'acc': 0.9865537881851196, 'val_loss': 0.3165154755115509, 'val_acc': 0.9068407452740378, 'val_aupr': 0.950943354047882, 'val_auc': 0.9619257739403755, 'val_f1': 0.908581342586414, 'kfold': 2, 'epoch_count': 6}"
"{'loss': 0.04132779315114021, 'acc': 0.9876077175140381, 'val_loss': 0.33144378662109375, 'val_acc': 0.90765673874609, 'val_aupr': 0.9547819100641703, 'val_auc': 0.9644176477421638, 'val_f1': 0.9070754071438347, 'kfold': 2, 'epoch_count': 7}"
"{'loss': 0.3643702566623688, 'acc': 0.8309109807014465, 'val_loss': 0.2501399517059326, 'val_acc': 0.9007207942336461, 'val_aupr': 0.9517031409838355, 'val_auc': 0.960593535079724, 'val_f1': 0.9039220847591471, 'kfold': 3, 'epoch_count': 1}"
"{'loss': 0.16149349510669708, 'acc': 0.9402485489845276, 'val_loss': 0.22955253720283508, 'val_acc': 0.9140486876104991, 'val_aupr': 0.9634703567803694, 'val_auc': 0.9683042531279964, 'val_f1': 0.9162470182878346, 'kfold': 3, 'epoch_count': 2}"
"{'loss': 0.08693116903305054, 'acc': 0.9719516634941101, 'val_loss': 0.2963307201862335, 'val_acc': 0.9091527267781858, 'val_aupr': 0.9552201989857411, 'val_auc': 0.9636357852247305, 'val_f1': 0.9115934356802541, 'kfold': 3, 'epoch_count': 3}"
"{'loss': 0.0625293031334877, 'acc': 0.9816240668296814, 'val_loss': 0.3076254427433014, 'val_acc': 0.9056167550659595, 'val_aupr': 0.9554165621789577, 'val_auc': 0.9622921080978705, 'val_f1': 0.907737303908535, 'kfold': 3, 'epoch_count': 4}"
"{'loss': 0.05078538879752159, 'acc': 0.9851088523864746, 'val_loss': 0.3399433195590973, 'val_acc': 0.9008567931456548, 'val_aupr': 0.9528402723954204, 'val_auc': 0.9603713644811136, 'val_f1': 0.903251493032515, 'kfold': 3, 'epoch_count': 5}"
"{'loss': 0.04239703342318535, 'acc': 0.9875737428665161, 'val_loss': 0.30136731266975403, 'val_acc': 0.9046647626818985, 'val_aupr': 0.9556801979365451, 'val_auc': 0.9621873113436477, 'val_f1': 0.906620487544958, 'kfold': 3, 'epoch_count': 6}"
"{'loss': 0.038545552641153336, 'acc': 0.988236665725708, 'val_loss': 0.3829905688762665, 'val_acc': 0.9041207670338637, 'val_aupr': 0.9492768430360801, 'val_auc': 0.9590176256821222, 'val_f1': 0.9068815215955621, 'kfold': 3, 'epoch_count': 7}"
"{'loss': 0.3567759692668915, 'acc': 0.8359087109565735, 'val_loss': 0.24272151291370392, 'val_acc': 0.9058887528899768, 'val_aupr': 0.9566858082574156, 'val_auc': 0.9640014791662628, 'val_f1': 0.908899420747762, 'kfold': 4, 'epoch_count': 1}"
