drug1,drug2,score
[1546],[1559],0.8816568
[6],[47503],0.9251299
[16476],[47722],0.9951411
[302],[534],0.94955534
[3972],[47455],0.5079237
[47636],[47731],0.9642574
[9590],[47625],0.9895292
[47717],[47722],0.99700683
[90],[773],0.74135137
[3523],[47726],0.9916991
[47485],[47628],0.95166117
[47843],[47882],0.95641613
[2230],[47465],0.75592524
[22313],[47454],0.8557501
[55],[9721],0.6774877
[47454],[47734],0.7415825
[47605],[47908],0.5153199
[4975],[12162],0.9603491
[1016],[1546],0.7432289
[367],[47543],0.83927655
[222],[298],0.7004405
[770],[1281],0.9560366
[566],[47715],0.7274275
[47625],[47784],0.95647484
[608],[27116],0.55822724
[126],[47655],0.60805756
[269],[47886],0.6194203
[52],[598],0.5441694
[673],[47457],0.9872549
[47499],[47635],0.9272876
[47483],[47603],0.9843904
[170],[936],0.53872436
[35037],[47499],0.8754566
[22313],[33704],0.8103713
[47451],[47664],0.9847602
[47497],[47500],0.5000894
[11],[47492],0.53215486
[142],[1176],0.6526203
[47485],[47533],0.9958074
[11],[146],0.97915745
[20011],[42624],0.93966687
[6857],[47608],0.9158582
[149],[7797],0.5073077
[799],[47739],0.69527876
[125],[828],0.9965811
[32051],[47733],0.8591359
[326],[602],0.9784172
[14440],[47694],0.9997312
[1854],[47567],0.9777955
[452],[1286],0.961738
[441],[489],0.71999645
[47517],[47534],0.89170223
[47479],[47577],0.586519
[58],[47694],0.9906236
[1662],[47519],0.72955316
[603],[47773],0.5336867
[3986],[47726],0.63457054
[47487],[47553],0.9580459
[492],[47540],0.5118805
[124],[9697],0.8452659
[1155],[6435],0.93200064
[1085],[1134],0.9937031
[673],[3258],0.9641942
[804],[1366],0.683599
[200],[405],0.74143255
[18582],[47720],0.67574865
[29],[56],0.5142389
[354],[47533],0.6899717
[54],[47570],0.8077171
[1076],[10039],0.5405836
[47473],[47567],0.7907233
[5866],[47633],0.83571255
[135],[47784],0.97243595
[47503],[47667],0.8720679
[1862],[47721],0.59350073
[59],[374],0.76027757
[1281],[32476],0.7887311
[587],[8943],0.93491244
[114],[498],0.9953448
[22381],[46544],0.54077274
[47495],[47550],0.9354203
[2009],[47724],0.8837486
[770],[47484],0.9034082
[278],[47910],0.8424614
[2571],[47824],0.94029266
[876],[47521],0.7745866
[920],[47837],0.6033246
[10126],[10825],0.5267383
[461],[47519],0.97101545
[566],[1559],0.9936101
[47670],[47785],0.76634115
[3170],[47762],0.94436145
[19],[149],0.7502273
[99],[164],0.98570496
[42],[816],0.85147023
[114],[47462],0.9780584
[47518],[47674],0.53790927
[1514],[47591],0.94666433
[275],[29245],0.8827217
[13084],[47784],0.59523934
[520],[47728],0.9876651
[16476],[47803],0.5331792
[229],[4385],0.6791289
[789],[47633],0.52672386
[47583],[47772],0.9191536
[441],[3361],0.5024085
[1412],[47808],0.99509555
[11],[901],0.978112
[359],[47576],0.9755105
[107],[47476],0.981986
[2571],[47628],0.99828976
[4865],[10942],0.99232745
[47776],[47797],0.97498566
[275],[1824],0.8869281
[11],[47491],0.9280419
[687],[47658],0.558243
[210],[810],0.96476287
[1985],[47655],0.9983844
[210],[47653],0.7181497
[47664],[47825],0.9727297
[5554],[15482],0.7740774
[47717],[47725],0.9480032
[47455],[47635],0.9885799
[47530],[47648],0.91847616
[2964],[19168],0.95731074
[452],[47508],0.98730975
[2151],[47808],0.70063955
[161],[47532],0.76276404
[1085],[47499],0.83200026
[430],[47733],0.8210183
[1952],[47542],0.5116094
[47629],[47655],0.7087166
[225],[1421],0.90563667
[2207],[47679],0.84119135
[492],[5788],0.9476703
[3055],[47826],0.6013935
[200],[1016],0.98782176
[313],[330],0.66125166
[330],[19889],0.87273103
[831],[15860],0.9255757
[19767],[47458],0.9968244
[399],[534],0.91866386
[47467],[47573],0.9910733
[401],[1095],0.93021005
[95],[9697],0.66566104
[237],[47490],0.8766241
[140],[47469],0.6128138
[275],[936],0.9541633
[107],[452],0.9364782
[147],[1412],0.99854875
[775],[47544],0.68421143
[408],[47474],0.76760584
[4432],[47723],0.90599024
[269],[293],0.8707344
[901],[47633],0.71894544
[15860],[47534],0.7936517
[99],[420],0.8675079
[381],[47676],0.8997397
[47664],[47895],0.6768835
[248],[47454],0.85191095
[140],[10039],0.5072974
[773],[47730],0.9532087
[1421],[47678],0.5072799
[225],[47569],0.9347252
[245],[7144],0.9702593
[446],[47491],0.992559
[628],[47718],0.7397615
[10825],[47680],0.63518715
[9],[251],0.80988926
[1360],[4384],0.98842025
[114],[1018],0.7569015
[114],[552],0.6117561
[564],[47543],0.7518544
[412],[34844],0.9958987
[47537],[47583],0.9606134
[1781],[2234],0.5870049
[502],[2576],0.945347
[828],[1566],0.5576917
[412],[47828],0.5174253
[14837],[47532],0.9764499
[48],[173],0.7240049
[47521],[47534],0.98535293
[804],[47633],0.83945584
[12],[5390],0.9678636
[225],[773],0.98059875
[611],[37818],0.90881765
[799],[9660],0.9509651
[2652],[47784],0.7316307
[31168],[47734],0.50455475
[135],[161],0.9788481
[109],[460],0.9920441
[9590],[47713],0.93284917
[3338],[18416],0.5879908
[90],[5390],0.8349098
[10],[557],0.6397726
[19168],[47601],0.54348344
[704],[47601],0.8281727
[1412],[47830],0.53016734
[3170],[47770],0.5454814
[1405],[47538],0.94946814
[433],[47731],0.9616787
[12],[220],0.9615695
[295],[322],0.74079305
[170],[5789],0.7680723
[47498],[47547],0.7097732
[222],[460],0.92472076
[47654],[47666],0.63938123
[41],[467],0.84038186
[1628],[3766],0.6727776
[195],[3029],0.9955436
[40792],[47476],0.9797122
[608],[47645],0.90625334
[278],[1546],0.8695914
[47719],[47721],0.9804026
[30005],[47633],0.5442634
[567],[9721],0.7913211
[47523],[47539],0.98463315
[47521],[47540],0.97893655
[47494],[47571],0.9590224
[53],[47532],0.8358875
[14],[47571],0.8232365
[18],[47530],0.9856267
[248],[47457],0.82899773
[153],[42624],0.5592734
[111],[47724],0.7845545
[4],[47712],0.5275822
[22580],[47578],0.9959048
[392],[770],0.77754223
[1566],[47519],0.9933577
[140],[1230],0.62182736
[3055],[47571],0.88807213
[47555],[47733],0.6521796
[60],[595],0.5666645
[1634],[11884],0.97119
[47767],[47886],0.790521
[293],[21795],0.55597776
[47492],[47633],0.89673287
[3360],[47757],0.9939111
[103],[11997],0.58225524
[801],[2949],0.65765935
[557],[7144],0.98800683
[47653],[47668],0.6243951
[4243],[47660],0.71450424
[2116],[29245],0.93172693
[3174],[47560],0.5308804
[47548],[47561],0.8658936
[364],[47786],0.64273494
