drug1,drug2,score
[47672],[47707],0.9999769
[47611],[47772],0.87758833
[47487],[47678],0.7798061
[566],[47539],0.9993537
[19767],[47458],0.9993036
[6566],[6904],0.84444404
[140],[47506],0.7579684
[225],[47638],0.98067147
[11],[47491],0.97720194
[544],[47631],0.81915146
[816],[4258],0.99948525
[1634],[9925],0.80017316
[7797],[47661],0.7882936
[14440],[42870],0.6271478
[225],[1421],0.99171174
[114],[20051],0.9994641
[4432],[47638],0.8842454
[231],[47579],0.9967763
[229],[268],0.7970136
[47495],[47646],0.99936414
[452],[47475],0.9989205
[645],[47604],0.6799378
[47514],[47837],0.61678725
[107],[47655],0.9977904
[1412],[47808],0.9911696
[6885],[47501],0.5242822
[201],[47497],0.5901984
[11],[146],0.940703
[93],[47850],0.59126884
[35],[47533],0.92869025
[566],[47492],0.9422017
[1628],[13151],0.5103866
[47561],[47590],0.8093899
[414],[47625],0.69623625
[42],[47721],0.98533237
[14799],[47680],0.998442
[673],[47457],0.9995226
[2813],[47454],0.6324641
[4496],[47730],0.86376816
[831],[5994],0.9997672
[39],[69],0.9839217
[520],[3897],0.96258646
[1566],[47519],0.98619217
[1315],[47781],0.8750425
[114],[47462],0.9915258
[47633],[47726],0.76286036
[878],[47647],0.93522716
[1895],[47693],0.6914175
[22381],[47852],0.5637723
[47468],[47529],0.94880426
[557],[7144],0.99315506
[302],[340],0.9816224
[800],[3897],0.5973687
[10312],[47679],0.6238166
[30],[137],0.9853922
[595],[1763],0.7123598
[32192],[47753],0.9590476
[269],[293],0.99301124
[10126],[10825],0.64223737
[8102],[11624],0.570816
[2983],[47562],0.9170443
[200],[1016],0.999877
[222],[298],0.99446917
[564],[47543],0.97481793
[6244],[17432],0.55324304
[399],[534],0.8660234
[64],[122],0.9499293
[22381],[47531],0.99942595
[684],[8492],0.9785235
[292],[1341],0.90655684
[3029],[3897],0.86970437
[684],[2792],0.9160327
[1028],[47492],0.985941
[11],[18],0.5259578
[47503],[47667],0.8645022
[381],[755],0.943579
[492],[1286],0.86813784
[44051],[47782],0.7652559
[7060],[47711],0.5148468
[47590],[47789],0.7264307
[164],[9721],0.78196687
[7060],[47651],0.57078755
[47654],[47666],0.9027524
[47456],[47610],0.57014394
[200],[1701],0.9525038
[11],[1577],0.9914183
[47855],[47879],0.77041817
[10126],[47473],0.8999464
[37735],[47725],0.8815801
[145],[955],0.800529
[401],[608],0.67081267
[359],[47576],0.86578876
[225],[47490],0.99148136
[47636],[47731],0.9979836
[7781],[47576],0.67175084
[268],[35328],0.71997094
[108],[47467],0.8008755
