drug1,drug2,score
[47477],[47503],0.8886985
[64],[420],0.64365506
[47461],[47713],0.6263202
[628],[47628],0.8679022
[47574],[47718],0.7984155
[90],[656],0.7524203
[210],[47653],0.618542
[673],[47457],0.9995616
[374],[704],0.99746746
[329],[340],0.5016776
[15482],[47691],0.85839295
[531],[534],0.5745389
[3169],[47495],0.98328924
[268],[35328],0.719395
[35037],[47870],0.5753259
[408],[47474],0.9617703
[55],[47560],0.5039591
[2230],[6738],0.55380994
[135],[161],0.9890075
[360],[5941],0.5644451
[520],[47530],0.7056676
[1134],[45491],0.7012205
[6738],[17548],0.76304835
[497],[47770],0.7395927
[2009],[47726],0.7733093
[625],[47637],0.932821
[178],[194],0.5013588
[225],[1421],0.712918
[1176],[47481],0.6179982
[47465],[47565],0.6801713
[354],[420],0.5547776
[39],[63],0.60369635
[9660],[26508],0.98718935
[22400],[47727],0.97885865
[237],[564],0.88515824
[2983],[47562],0.9422334
[10119],[47833],0.52276856
[239],[47865],0.7431325
[47805],[47931],0.6119598
[1155],[6435],0.757649
[354],[47831],0.6300049
[611],[878],0.90538543
[32476],[47479],0.8870965
[4865],[44022],0.5722562
[269],[293],0.839004
[135],[2165],0.9449292
[359],[501],0.6411863
[1952],[47547],0.67180616
[194],[47508],0.67957276
[47483],[47638],0.7855952
[47575],[47674],0.97760373
[26],[170],0.8052779
[15860],[47534],0.7100343
[14799],[47680],0.9610905
[7781],[47611],0.8200167
[1559],[4385],0.62368065
[47492],[47633],0.8387468
[32051],[47733],0.97928286
[684],[2792],0.626063
[608],[1662],0.9818883
[19],[564],0.9108012
[47799],[47886],0.79781973
[47662],[47772],0.9318825
[47740],[47789],0.96795636
[1421],[47455],0.63528836
[3523],[47726],0.73356897
[542],[8497],0.74070305
[1566],[47533],0.99950653
[370],[1405],0.98827505
[19767],[47476],0.9526455
[48],[173],0.947748
[135],[1227],0.97303265
[127],[47613],0.6651076
[955],[5065],0.60734105
[171],[47474],0.74696296
[406],[6456],0.50729567
[639],[47731],0.88868546
[90],[5390],0.86632156
[1176],[47457],0.99710566
[47611],[47772],0.86522037
[452],[1286],0.9663179
[109],[460],0.9505869
[2571],[47628],0.97438246
[3168],[47853],0.53571206
[37735],[47789],0.55386525
[116],[37735],0.53346467
[47556],[47692],0.93958455
[47451],[47664],0.97584575
[11],[47745],0.55867624
[17],[401],0.91367364
[452],[19168],0.991936
[47495],[47646],0.9776525
[117],[2445],0.9079619
[47451],[47775],0.97046
[47717],[47725],0.9942129
[1085],[47499],0.6779075
[489],[47497],0.7050621
[157],[724],0.8676946
[116],[599],0.6701962
[47509],[47672],0.52173173
[275],[47560],0.5356176
[11153],[47458],0.96497405
[153],[9511],0.92331916
[5866],[47633],0.97013634
[292],[1341],0.9527112
[831],[47665],0.909572
[47469],[47639],0.6105561
[4865],[10942],0.8228119
[47499],[47718],0.6090442
[566],[1559],0.99375933
[4845],[19767],0.686113
[103],[47809],0.94048154
[611],[37818],0.8021425
[789],[47533],0.82381827
[1051],[9697],0.7325901
[3360],[6890],0.96011025
[93],[2897],0.88140714
[22313],[47531],0.99911827
[3258],[5866],0.5357985
[229],[282],0.7999735
[125],[577],0.7514843
[3055],[47571],0.99512213
[2652],[5605],0.5244582
[106],[9721],0.7428323
[10126],[10825],0.86312205
[86],[47507],0.9106561
[265],[3029],0.97497207
[29603],[47680],0.63141495
[557],[7144],0.9272334
[608],[47827],0.65689826
[14],[1190],0.9010183
[20],[47730],0.9615714
[78],[704],0.6124108
[603],[47772],0.5445501
[382],[408],0.76586604
[171],[27426],0.9266449
[1281],[32476],0.87877935
[401],[1095],0.9961574
[153],[47501],0.7842643
[47509],[47730],0.9371174
[125],[47734],0.9838253
[645],[47601],0.9818679
[200],[1016],0.95185536
[109],[292],0.5963588
[406],[28130],0.50868475
[1546],[47545],0.64671
[11316],[47519],0.9939057
[47701],[47887],0.6374272
[1566],[47806],0.8371338
[22400],[47726],0.9634814
[406],[47472],0.80700016
[687],[5789],0.7510967
[47562],[47642],0.53376555
[2230],[47465],0.92671716
[2078],[5605],0.60481465
[32192],[47753],0.93262273
[22381],[47852],0.6844093
[47667],[47900],0.8449762
[684],[8492],0.9690311
[3072],[47494],0.6681406
[1155],[31322],0.9966792
[1374],[2365],0.7078886
[2151],[47808],0.73331827
[5941],[47733],0.9892025
[47498],[47547],0.9034204
[116],[47631],0.5201895
[608],[1489],0.9237804
[275],[47733],0.8161926
[11],[901],0.85282034
[2],[47852],0.6858806
[3170],[47628],0.9567809
[39],[69],0.81294715
[2],[1346],0.6725242
[47557],[47770],0.9218282
[2130],[47458],0.92718154
[93],[47850],0.92633146
[11997],[47550],0.80517375
[1360],[47720],0.9728411
[47887],[47906],0.8030468
[451],[10825],0.8417924
[2118],[47726],0.94594234
[47489],[47501],0.87944025
[47463],[47779],0.9669579
[1155],[1478],0.64039904
[47455],[47508],0.8885377
[396],[47529],0.9853206
[65],[95],0.77935374
[47513],[47530],0.5177331
[1016],[1546],0.51823395
[340],[1686],0.7314881
[210],[27426],0.75502443
[60],[549],0.8159082
[10],[557],0.52323264
[47761],[47837],0.6304872
[82],[47837],0.7426842
[10119],[47519],0.9978864
[81],[47600],0.92817545
[47713],[47747],0.7243797
[228],[283],0.6100724
[41],[467],0.75594807
[47518],[47664],0.8018159
[17],[331],0.5394954
[258],[17548],0.95660913
[231],[1701],0.9528182
[275],[1802],0.6340899
[125],[47679],0.8760028
[47511],[47527],0.9900039
[1134],[44271],0.67572683
[800],[47491],0.8702789
[1274],[47658],0.5167939
[204],[47532],0.9481892
[75],[577],0.92621034
[47632],[47733],0.5937301
[805],[47538],0.8868725
[47726],[47762],0.78350914
[114],[20051],0.9953676
[6885],[47501],0.7832719
[65],[47491],0.9677684
[14],[47571],0.9683632
[47524],[47539],0.7691538
[229],[4385],0.77077955
[412],[34844],0.73505116
[128],[700],0.8730461
[47499],[47735],0.659594
[55],[9721],0.8941557
[109],[47569],0.91274196
[1028],[47492],0.9081638
[42],[816],0.6298333
[367],[799],0.9621135
[10119],[47505],0.6608132
[11],[47492],0.76572275
[164],[9721],0.7307755
[3055],[47593],0.7749119
[497],[47497],0.7719454
[941],[47521],0.54495376
[1854],[47467],0.64265555
[303],[5554],0.65074766
[47342],[47494],0.5890247
[47611],[47631],0.7631981
[135],[47784],0.8876869
[557],[47474],0.8242482
[107],[47655],0.97477263
[117],[1018],0.6402583
[47645],[47667],0.59847766
[44022],[47493],0.84699297
[412],[8477],0.59950304
[171],[47682],0.65630907
[42870],[47493],0.90839285
