drug1,drug2,score
[9242],[7266],0.6037405
[25289],[17397],0.7088442
[43517],[71138],0.66284144
[9536],[44133],0.56163734
[10915],[38125],0.9593763
[100243],[6383],0.9921779
[12258],[41599],0.7423854
[11228],[33148],0.9945332
[72764],[10095],0.84555566
[18559],[19500],0.8747677
[25289],[2414],0.85916257
[30933],[20940],0.99982506
[96824],[15859],0.63360083
[4747],[14996],0.8814223
[15175],[17319],0.8698641
[39362],[18601],0.6961088
[35893],[72828],0.97100073
[11546],[38271],0.99910855
[21862],[39886],0.73348176
[39362],[96262],0.8679134
[21862],[8797],0.82651675
[59376],[10351],0.8334944
[31096],[17761],0.99876696
[40571],[5015],0.9949617
[39555],[3275],0.97337234
[25994],[21743],0.9886074
[23460],[104375],0.7446842
[92243],[13417],0.8939924
[41301],[17489],0.9970219
[105336],[21094],0.8731721
[51197],[20031],0.6570576
[21265],[78962],0.52355826
[20713],[13753],0.9113392
[63888],[15519],0.7850255
[44133],[94117],0.6373974
[71654],[103614],0.6010883
[15085],[45429],0.9940444
[11546],[4042],0.5336283
[20940],[37428],0.67088336
[6966],[13873],0.5480626
[70992],[21094],0.577436
[7465],[40140],0.75730765
[9536],[19132],0.94759846
[38171],[62046],0.76329523
[15120],[14446],0.7459614
[39637],[16103],0.98864925
[14059],[48375],0.6191218
[48375],[13789],0.72563946
[12565],[8266],0.7863051
[22424],[7594],0.9830373
[38469],[14978],0.85500497
[3497],[23033],0.9226841
[41301],[17004],0.991461
[39920],[13284],0.83911395
[6383],[68281],0.9999803
[17887],[16660],0.97334254
[52432],[19583],0.70777273
[2208],[28358],0.90178895
[96627],[25201],0.95133
[15064],[103200],0.9747854
[99395],[44757],0.82567525
[12679],[102272],0.9938109
[102364],[24115],0.8638791
[18051],[100439],0.64068323
[95073],[14710],0.7698421
[14422],[8115],0.79065496
[36382],[28841],0.89674723
[14422],[20402],0.75313234
[45535],[992],0.66152996
[24783],[100820],0.74399304
[32412],[47860],0.67237
[39984],[25098],0.9953546
[39527],[73838],0.94434
[34251],[4879],0.9193533
[19394],[19113],0.9875506
[33148],[45429],0.930797
[1416],[19500],0.97749096
[41128],[6321],0.87176216
[661],[23348],0.61763453
[22424],[22651],0.5658657
[49892],[14472],0.6704337
[9060],[6487],0.5140999
[3305],[5720],0.7105377
[3515],[14978],0.92729974
[13435],[13522],0.766164
[36127],[7038],0.9252469
[5214],[104481],0.72016716
[2369],[38157],0.85513204
[24386],[79685],0.62107617
[23129],[6576],0.9965294
[6619],[105102],0.7867399
[38171],[65951],0.9046977
[101221],[2834],0.5050368
[56566],[16743],0.65354973
[103448],[7113],0.9555555
[19670],[33103],0.9250808
[102167],[104052],0.52457845
[17319],[96700],0.9214772
[8266],[20614],0.5057051
[43900],[22466],0.549111
[94868],[21342],0.70935583
[25994],[24115],0.8493604
[72764],[31096],0.8375628
[27789],[103141],0.9845046
[25583],[12889],0.72795326
[9220],[59376],0.996734
