drug1,drug2,score
[4497],[81838],0.84539974
[21843],[103346],0.9730512
[9830],[103448],0.53208774
[11466],[23348],0.9815669
[20780],[4747],0.8307759
[8551],[17192],0.6526526
[51740],[7244],0.6312741
[19040],[17887],0.83545446
[55573],[102151],0.9922217
[46003],[15156],0.51525134
[43683],[3690],0.5551955
[16844],[25536],0.7122651
[105998],[52432],0.70820826
[40394],[29025],0.80889904
[33148],[45429],0.9671379
[4789],[7994],0.9962682
[43492],[28288],0.88436866
[13967],[75071],0.8171214
[73331],[73931],0.63204473
[38636],[9536],0.6910302
[100750],[37428],0.9544488
[18329],[24805],0.98289055
[11039],[16522],0.9250525
[17397],[17558],0.9974362
[51492],[7882],0.56875277
[70490],[15650],0.7597835
[67143],[14117],0.71404064
[56045],[2414],0.8858192
[22585],[24386],0.8931019
[11686],[37233],0.99490166
[11002],[56109],0.7679829
[2989],[11002],0.90981716
[15485],[19294],0.61751264
[11075],[24149],0.9526378
[100439],[98567],0.55320793
[100243],[82954],0.8862666
[9517],[16928],0.76404613
[5617],[13724],0.8441007
[7038],[12917],0.96004313
[3305],[14385],0.99908143
[68939],[55573],0.84580076
[6645],[80910],0.70769334
[17166],[35503],0.5954538
[6383],[19670],0.98147804
[67604],[17796],0.7549474
[37428],[71983],0.9634851
[41432],[78962],0.500265
[43900],[22466],0.66717386
[13602],[36556],0.5707145
[20535],[12052],0.9741477
[71138],[3877],0.9996227
[1464],[66120],0.9157724
[17340],[16367],0.8081472
[6487],[39738],0.7931047
[26246],[98210],0.5641784
[55573],[106431],0.8976945
[9220],[59376],0.94527674
[103027],[36556],0.74101394
[20940],[11843],0.6545011
[57492],[6383],0.9101781
[44030],[70490],0.9698477
[11546],[26353],0.7881131
[54577],[38171],0.5789031
[103841],[12442],0.6571317
[37868],[96613],0.98402244
[37586],[12771],0.6770125
[21843],[7113],0.51173925
[36107],[36910],0.5983158
[18559],[23992],0.9959175
[13923],[11622],0.9207396
[18267],[87387],0.88802505
[5640],[16660],0.9046887
[10841],[12539],0.6301602
[10596],[98567],0.85965216
[12917],[14675],0.74532485
[55976],[11715],0.61739117
[4087],[46908],0.50480783
[2414],[38529],0.63761234
[39984],[25098],0.9894439
[25289],[2414],0.9722366
[37928],[11622],0.9971274
[80526],[55573],0.6986301
[62911],[23276],0.9971695
[102297],[82954],0.9959749
[20286],[103995],0.81306446
[8676],[17227],0.8012344
[14996],[8676],0.95854634
[33455],[82954],0.7393336
[28649],[24783],0.8915619
[4747],[14996],0.961139
[7313],[1865],0.99873245
[14601],[98766],0.91962236
[100400],[17861],0.8846616
[7611],[7113],0.6399431
[72764],[51492],0.97966975
[36010],[104342],0.65576255
[16027],[39841],0.90452343
[18051],[25779],0.9244965
[39141],[12460],0.6461554
[25148],[45658],0.9368038
[11564],[25926],0.8204659
[23129],[6576],0.9861862
[37428],[96551],0.9562138
[19312],[5254],0.6487125
[59376],[27105],0.868966
[40394],[39793],0.5199816
[73342],[16874],0.7158244
[68281],[55372],0.8523217
[14657],[15120],0.524066
[55573],[19791],0.7046489
[15156],[13030],0.7215841
[8863],[91546],0.630977
[15650],[9060],0.62311095
[98584],[8901],0.77716374
[7266],[20877],0.98194855
[10391],[81878],0.5124423
[24386],[57512],0.5468467
[51492],[22159],0.75371265
[50421],[8720],0.96495855
[104787],[13847],0.70930105
[12771],[28709],0.9700433
[106056],[37928],0.594965
[71138],[21789],0.7060387
[5254],[71654],0.85098803
[48375],[11039],0.697687
[39527],[5792],0.6428476
[23875],[17588],0.9712376
[106388],[52916],0.5185498
[6487],[5742],0.7814818
[63382],[17025],0.65149724
[19500],[15120],0.9957754
[34251],[71138],0.89257646
[11117],[65150],0.8518084
[15120],[74081],0.62125313
[35893],[19294],0.6247891
[39653],[96262],0.8768332
[95371],[49892],0.98243546
[5584],[20286],0.8499959
[6645],[19169],0.52339023
[36361],[74540],0.805523
[26898],[82392],0.97917664
