drug1,drug2,score
[18329],[105039],0.58097994
[12679],[27299],0.9895338
[17525],[18114],0.89009374
[18267],[87387],0.71773994
[661],[15064],0.51011187
[11447],[25681],0.7394137
[11415],[57492],0.9192576
[14805],[17143],0.8362987
[96551],[16928],0.88552314
[39886],[4087],0.6539991
[32173],[15451],0.93499225
[32336],[45840],0.9116915
[106365],[22424],0.9860451
[36556],[25348],0.92794067
[18381],[5254],0.9676703
[34251],[71138],0.9786355
[14692],[14675],0.97195417
[1041],[16874],0.8274073
[103027],[5192],0.9567743
[63141],[16140],0.96439815
[27337],[19437],0.72244227
[9602],[19275],0.82627183
[7313],[41613],0.5963177
[10915],[3433],0.7191077
[9743],[15156],0.54341984
[15859],[14317],0.97632533
[41613],[37373],0.79850316
[14100],[99678],0.9931126
[18559],[19500],0.5304265
[37791],[45351],0.9811953
[47004],[5507],0.9653882
[71131],[34599],0.65311724
[8064],[31201],0.7283051
[40535],[11902],0.9859317
[6798],[16620],0.59876674
[104481],[21094],0.7884689
[2960],[42302],0.7187581
[14422],[55299],0.517524
[15570],[2414],0.9914337
[20713],[13753],0.74717075
[100534],[6002],0.92879725
[98653],[32336],0.5998003
[68876],[13602],0.8911826
[45753],[25131],0.9481504
[55573],[19791],0.99738157
[51492],[22159],0.9987263
[37928],[104533],0.994118
[17887],[97492],0.99165714
[6860],[51836],0.99967986
[10915],[38125],0.9949218
[95588],[17004],0.9101072
[8901],[104787],0.5686628
[5381],[36010],0.5824023
[98006],[9786],0.8582749
[23460],[51492],0.6376746
[70973],[15137],0.559042
[93321],[26815],0.9386647
[14805],[28626],0.6232655
[14040],[16896],0.85348666
[17227],[19000],0.96250945
[15519],[59358],0.98268497
[39984],[36470],0.95803005
[4605],[10315],0.84137774
[8372],[37454],0.65652657
[17861],[9293],0.9581348
[6941],[101899],0.7652238
[34978],[18329],0.9713206
[8551],[3807],0.9462151
[27139],[6645],0.9672728
[106455],[12795],0.69502246
[10670],[13522],0.9652477
[57358],[9181],0.81794524
[106296],[3611],0.97205496
[14534],[3275],0.97073865
[13908],[10122],0.95230335
[8186],[3690],0.8849388
[39346],[59376],0.985923
[42754],[96158],0.9827245
[39653],[7906],0.96962506
[48146],[12424],0.9816493
[12771],[44682],0.95955294
[78948],[7491],0.92441845
[59501],[29379],0.98486674
[39527],[103214],0.91219825
[2208],[28358],0.9237082
[39819],[6966],0.5966289
[52862],[68553],0.7254209
[21324],[95192],0.59305984
[14446],[7925],0.9884351
[9702],[20563],0.95716065
[7465],[7266],0.98562354
[23875],[14958],0.6857316
[71138],[3877],0.9995584
[23875],[17588],0.69118065
[96080],[78985],0.68657297
[71138],[85619],0.9072877
[96613],[71131],0.54532194
[97785],[38763],0.9871569
[39653],[96262],0.7586769
[32173],[7680],0.8378475
[25994],[22528],0.9778906
[13943],[105623],0.6733692
[10351],[30963],0.84718233
[87387],[16045],0.9688045
[25536],[11039],0.59776855
[6002],[54154],0.8568178
[39793],[14692],0.96053606
[16121],[30341],0.63422453
[20286],[14296],0.96516883
[18074],[14618],0.8648474
[15932],[23033],0.94988793
[12679],[102272],0.9901418
[17988],[24840],0.8831369
[95073],[14710],0.73926705
[10951],[20971],0.69999135
[87472],[59893],0.7200739
[18051],[25779],0.91956085
[57492],[6383],0.9673504
[4497],[13813],0.95427406
[10933],[20402],0.9923001
[15103],[3217],0.55028564
[6645],[19275],0.9186503
[17319],[50570],0.95865756
[24783],[100820],0.6857707
[104880],[82954],0.83375925
[19905],[58503],0.5636213
[21903],[2505],0.97735906
[7244],[7383],0.9437877
[87408],[17143],0.63500637
[8115],[87387],0.96687424
[44757],[25348],0.98928463
[35472],[4789],0.8870121
[21743],[4879],0.75451756
[14446],[106388],0.949849
[17397],[17004],0.6958554
[15552],[100804],0.98749936
[8392],[15880],0.7389204
[1715],[59639],0.71151227
[17988],[46595],0.641789
[87472],[14577],0.9777058
[49892],[14472],0.98685175
[59824],[6073],0.97376674
[100699],[21493],0.5402969
[13602],[20563],0.9769586
[11394],[30341],0.62509
[10951],[13773],0.8425284
[13454],[20402],0.84608716
[106388],[52916],0.84640825
[41157],[11686],0.84053534
[1095],[39637],0.880707
[96627],[25201],0.9976638
[40164],[16928],0.9888887
[11099],[39290],0.50273055
[13724],[59639],0.8232811
[15032],[101056],0.7533541
[14135],[8468],0.6330389
[8901],[102167],0.9875363
[59538],[100893],0.54638535
[44682],[43492],0.6551591
[7313],[103214],0.9095033
[97736],[12960],0.6747195
[17907],[39527],0.91443056
[13642],[7544],0.9923982
[10982],[21265],0.58383805
[38931],[6619],0.6859266
[21760],[6966],0.9683961
[105998],[52432],0.8755029
[9653],[15064],0.9907139
[10897],[13584],0.8950056
[100820],[59824],0.88248295
[19219],[3587],0.90117973
[57239],[7491],0.68433154
[13602],[17474],0.96499246
[23129],[6576],0.9984676
[41613],[35963],0.97870904
[80526],[55573],0.8929365
[13499],[19437],0.6686524
[9517],[16928],0.6610884
[7383],[5254],0.99130106
[45237],[12795],0.8564963
[19670],[33103],0.6738656
[103027],[39637],0.78714895
[26479],[14317],0.99292225
[12442],[14446],0.5169829
[58500],[7747],0.84752566
[30243],[17227],0.99689025
[21823],[102757],0.5283389
[13873],[14385],0.581044
[11117],[65150],0.98006016
[98407],[12052],0.72133094
[6553],[11941],0.9949749
[94026],[7994],0.92984205
[24805],[1139],0.9918639
[16417],[11415],0.9649896
[34978],[44119],0.9445127
[11415],[32252],0.7156039
[13890],[6353],0.96637076
[5423],[99678],0.53973544
[15413],[8323],0.83294356
[7821],[17098],0.9627441
[58503],[22424],0.98118854
[7721],[99292],0.9747637
[11735],[34978],0.9272464
[14601],[15519],0.86788267
[38385],[19351],0.6871134
[13030],[35472],0.8324133
[15137],[11735],0.63942957
[82392],[79685],0.6518863
[39026],[36623],0.50952077
[20286],[87472],0.74532247
[12077],[8699],0.6233461
[5792],[19437],0.8322197
[106296],[18074],0.71374065
[13967],[75071],0.89434355
[11962],[12499],0.7667995
[18267],[67143],0.9549362
[41232],[103525],0.9945822
[98894],[22743],0.58894426
[36782],[105956],0.5562878
[7702],[11754],0.9099434
[30787],[6353],0.7732065
[13789],[20732],0.64490587
[25348],[39841],0.5656357
[25926],[19996],0.6694367
[105336],[21094],0.95936745
[7266],[20877],0.98217964
[23348],[4553],0.98898685
[17887],[16660],0.90609574
[17588],[67604],0.9775156
[80930],[19437],0.86024433
[82544],[37791],0.9870511
[12152],[12889],0.7706964
[12539],[8863],0.6907087
[15103],[57711],0.794756
[58181],[55573],0.9488788
[20563],[17796],0.64364064
[10095],[4201],0.96032345
[45738],[20614],0.6103004
[91735],[17192],0.7749407
[98006],[99855],0.8566665
[43517],[14011],0.8147362
[9012],[58181],0.6984985
[10315],[44030],0.96643364
[70992],[8323],0.9735155
[12258],[96158],0.96067554
[15650],[9060],0.87325394
[15120],[14446],0.97791463
[92079],[22424],0.99782205
[9786],[96262],0.89613855
[3410],[3877],0.90101403
[760],[13670],0.9985944
[41111],[4553],0.8735726
[39808],[11735],0.7006312
[34944],[24149],0.9284614
[105850],[36782],0.99840087
[19500],[15120],0.9993505
[16367],[3515],0.6960687
[12889],[13642],0.9923796
[40002],[51492],0.8994625
[91546],[44370],0.6413074
[2868],[5036],0.8532099
[11466],[81838],0.90594745
[11019],[8115],0.9920689
[13499],[4391],0.9853426
[104481],[39637],0.757115
[105716],[12679],0.705044
[8981],[30933],0.9136963
[17258],[11099],0.8917427
[54154],[12771],0.90157354
[36107],[7721],0.92760843
[8186],[17952],0.96248335
[6941],[24783],0.93745536
[3275],[47801],0.91757613
[2414],[19091],0.977128
[72293],[19500],0.61457825
[59824],[13670],0.65075076
[59893],[12679],0.7457494
[14805],[19583],0.9955392
[61396],[18007],0.7275047
[101899],[21342],0.5043452
[8901],[38469],0.79932284
[7994],[49892],0.9645974
[40128],[41204],0.8811723
[3952],[13172],0.6616254
[38442],[71969],0.5278808
[59358],[3877],0.897291
[5742],[104481],0.9482976
[13873],[17887],0.99774086
[34978],[5662],0.8940196
[50421],[15049],0.56925076
[92216],[14011],0.83934397
[26246],[25926],0.9698392
[68281],[55372],0.6980367
[15230],[15913],0.8875828
[15032],[37791],0.99648
[65982],[37428],0.65862954
[71969],[16928],0.9225956
[13923],[8720],0.8892187
[93657],[6915],0.54626006
[20031],[2414],0.5467611
[14385],[36556],0.9993785
[1688],[12539],0.76331735
[37290],[11466],0.67031544
[8266],[20614],0.68515235
[21493],[10059],0.74198496
[104481],[14100],0.62814873
[36910],[95073],0.98607594
[13704],[71131],0.8014065
[19806],[6860],0.6094972
[102757],[48163],0.86342394
[16844],[25536],0.8075729
[12478],[17340],0.945043
[17319],[18031],0.6950428
[72487],[8592],0.949004
[11546],[44133],0.9802041
[67604],[24115],0.7908752
[20431],[68102],0.97796565
[97477],[51740],0.59068537
[26246],[34978],0.9963685
[97845],[9576],0.882847
[12679],[69999],0.51694024
[100820],[47769],0.68782705
[3807],[15650],0.79916424
[39637],[102466],0.79853934
[26353],[96871],0.8830973
[39187],[2708],0.56684715
[30933],[19742],0.78439033
[55573],[106431],0.8715293
[5640],[96080],0.862745
[93657],[11887],0.9175106
[43504],[57603],0.87773776
[78948],[7295],0.95814896
[5381],[29117],0.9805405
[55639],[14235],0.67401665
[97663],[20780],0.88619876
[25583],[14178],0.9705706
[56045],[29117],0.83229285
[36382],[30243],0.96776676
[14675],[18074],0.64130074
[11622],[14824],0.77962977
[4747],[17907],0.99982166
[24658],[20286],0.9992834
[967],[15583],0.5336794
[59639],[105687],0.7308407
[37113],[14710],0.99981946
[11322],[67604],0.85977495
[83096],[36782],0.98509395
[7857],[26850],0.97159857
[2672],[3877],0.8803748
[36782],[14253],0.93278784
[33148],[34944],0.90031785
[11686],[13813],0.9499498
[71602],[35963],0.7992058
[104937],[48375],0.5592249
[15539],[19437],0.83069706
[50421],[8720],0.9595396
[3759],[6487],0.7259252
[11394],[25379],0.9099733
[21094],[43826],0.88288546
[10315],[19257],0.53507024
[103027],[8863],0.9774155
[15770],[20780],0.8985021
[81770],[13923],0.9854593
[6487],[2414],0.9929159
[50390],[7594],0.5161277
[12368],[13724],0.77393943
[36382],[28841],0.76991266
[9702],[106431],0.585837
[71654],[103614],0.9845673
[39808],[8676],0.7787528
[59376],[10878],0.7989457
[59501],[9743],0.8659591
[22756],[14216],0.97007734
[37928],[11622],0.94345576
[10982],[17359],0.89886934
[7925],[30471],0.9776068
[16743],[11151],0.97925013
[37428],[26246],0.94134
[10878],[25536],0.74050003
[26353],[101568],0.8764062
[26815],[43037],0.6387608
[11306],[102272],0.9316294
[14842],[25393],0.7229355
[1865],[26479],0.99975765
[38469],[31096],0.7755034
[7544],[95891],0.94249743
[9012],[10315],0.60448164
[23129],[102435],0.5469
[47022],[39653],0.52932
[9424],[8676],0.94209015
[22424],[74866],0.7307217
[4391],[96848],0.9771317
[15913],[19155],0.7572935
[8115],[52058],0.52591866
[12539],[25926],0.86271477
[38931],[67604],0.9366167
[69739],[24207],0.5841788
[7313],[1865],0.99129105
[2414],[7680],0.629239
[23211],[20755],0.5879497
[7313],[39819],0.9990503
[71969],[59358],0.6206499
[15103],[97492],0.952359
[35963],[68553],0.98311293
[24115],[722],0.91402316
[104481],[20431],0.51870346
[97663],[14472],0.910491
[87387],[48375],0.82951456
[7038],[12917],0.99875426
[1416],[19500],0.9876492
[45429],[5566],0.651399
[36010],[104342],0.63866085
[7642],[12771],0.8079768
[11337],[17796],0.7202323
[27919],[97031],0.95544297
[59726],[9971],0.9571829
[13602],[36556],0.96682537
[100534],[967],0.9609412
[96262],[27183],0.6937842
[18329],[101963],0.9049676
[41204],[17098],0.94686943
[37454],[68894],0.6720199
[100643],[17340],0.9856029
[7038],[95371],0.9793648
[10951],[31096],0.63974434
[15747],[11151],0.9611489
[92216],[59358],0.860425
[54577],[38171],0.61160034
[12795],[17489],0.99290127
[32336],[17907],0.74327344
[19791],[59376],0.5521785
[37113],[4879],0.9965798
[41061],[28288],0.6945806
[47336],[70973],0.9298101
[33103],[1942],0.8950599
[25994],[91970],0.6324821
[10059],[103683],0.6100724
[1740],[14100],0.7634129
[80034],[11715],0.99485576
[19000],[9953],0.99762386
[13435],[13522],0.9529427
[35893],[72487],0.98214054
[9762],[12406],0.67350745
[5036],[71138],0.9952123
[13240],[5214],0.5554464
[68259],[27033],0.8987207
[5214],[6619],0.69810456
[5848],[38204],0.65834
[12204],[5662],0.83078015
[7611],[13704],0.90542257
[68553],[73354],0.7822568
[39653],[18918],0.7376338
[77499],[6073],0.8867892
[12134],[51492],0.62809366
[98567],[3587],0.8756785
[43504],[9536],0.8142219
[14472],[4553],0.96408826
[6487],[33455],0.79919595
[66120],[12460],0.9467423
[17166],[36218],0.67255044
[62911],[23276],0.9899068
[59726],[68437],0.6673814
[36107],[36910],0.9996318
[37868],[102346],0.82000124
[36910],[105731],0.7660733
[9702],[15770],0.998495
[50570],[18522],0.9611281
[32826],[7367],0.72099864
[38916],[16808],0.95211613
[31172],[68437],0.87931764
[36556],[19500],0.7856198
[5254],[71654],0.9966571
[43492],[14842],0.577238
[13724],[37499],0.6476979
[37428],[45658],0.8235611
[9936],[11151],0.6882763
[9653],[39841],0.9967713
[35963],[97155],0.6716821
[14422],[20402],0.9878334
[28510],[52040],0.9525534
[28709],[30933],0.98569995
[13923],[11622],0.9209104
[14766],[53486],0.99007803
[25201],[11039],0.9739641
[3305],[14385],0.9642996
[33336],[8115],0.94396555
[36107],[21047],0.7883323
[13499],[46595],0.9077741
[99855],[18329],0.53677016
[37428],[71983],0.9046391
[20713],[8797],0.7587696
[36382],[102151],0.7222685
[40140],[5324],0.784443
[10670],[21047],0.7962743
[6073],[96627],0.75870955
[4087],[25926],0.7692268
[106296],[25994],0.9723615
[10374],[10351],0.5598827
[96646],[13670],0.7693885
[62911],[44757],0.9066715
[3877],[18329],0.51570773
[39362],[18601],0.7532956
[98766],[38794],0.99097806
[9242],[4201],0.91669387
[15214],[5886],0.610683
[11466],[13622],0.62914926
[75512],[44229],0.883333
[103614],[43960],0.9928748
[37939],[20402],0.8576042
[14924],[68894],0.697924
[52058],[7216],0.6281292
[59022],[12960],0.6055036
[3515],[14978],0.9993902
[100893],[25536],0.99986446
[8186],[9810],0.53377557
[14059],[11484],0.841832
[104497],[12052],0.90124065
[16170],[19437],0.69552046
[21903],[102733],0.6158458
[3358],[27299],0.957427
[8186],[103346],0.8584647
[70490],[48146],0.86403245
[8372],[71527],0.83412534
[30730],[41398],0.8847206
[17887],[3877],0.95909655
[6206],[51492],0.5279821
[104787],[24115],0.9734689
[7857],[95142],0.858021
[11415],[7313],0.9658178
[9953],[41128],0.9787671
[38877],[96871],0.83389145
[71138],[82954],0.99980915
[19394],[19113],0.6973348
[69578],[17887],0.78124017
[105850],[13943],0.99491924
[75378],[20614],0.8341922
[5662],[14692],0.7413013
[39920],[17227],0.92009807
[14637],[15519],0.581499
[7611],[7113],0.8916169
[14422],[8115],0.9493522
[722],[13670],0.9433765
[100439],[21760],0.53394026
[17861],[106388],0.638129
[103792],[12704],0.5446313
[15539],[12116],0.8855699
[39637],[16103],0.7301781
[85619],[71131],0.5282657
[8720],[46738],0.5111528
[19219],[11466],0.7655126
[68091],[18051],0.88345706
[2708],[5742],0.7957343
[87387],[17258],0.77631146
[20563],[92113],0.97527426
[98841],[19000],0.65514123
[51618],[16928],0.8190769
[9830],[10434],0.57269776
[8592],[59538],0.84212613
[38541],[48375],0.57377785
[18585],[75071],0.52030575
[13943],[56045],0.99208546
[6383],[54263],0.7988389
[2745],[45753],0.86239773
[98894],[96551],0.85012835
[24386],[8533],0.560839
[44757],[8592],0.7299145
[39362],[9125],0.65978324
[5148],[99292],0.9193338
[72764],[31096],0.6521123
[18902],[20431],0.58345723
[17605],[17525],0.9436894
[92079],[17340],0.7413115
[67604],[9743],0.91831243
[24896],[11584],0.9697455
[27677],[18092],0.93362784
[56109],[7925],0.9955095
[40750],[3650],0.5115166
[24386],[7747],0.6976119
[11902],[17489],0.6762674
[51740],[24658],0.67126864
[12052],[100893],0.97676843
[105025],[9991],0.6171667
[16367],[34978],0.6531856
[11503],[5507],0.7463667
[19040],[17887],0.9932137
[37563],[35893],0.78493583
[18092],[103722],0.51890886
[7882],[20431],0.9211371
[14805],[3092],0.8969369
[100750],[37233],0.596228
[77861],[12499],0.59550816
[11228],[33148],0.9978902
[44030],[14158],0.9961474
[3723],[39653],0.5367119
[47860],[37791],0.9782098
[11039],[16522],0.98313755
[6798],[7680],0.5221248
[12424],[41232],0.8471048
[28510],[12348],0.7535777
[59425],[16620],0.67771107
[100561],[18007],0.9508079
[75512],[79685],0.7918409
[12960],[13989],0.9339266
[38613],[15770],0.78034085
[96646],[14117],0.7292275
[25536],[27403],0.9908989
[18051],[100439],0.8740745
[37721],[17340],0.79084647
[28863],[52040],0.887392
[18092],[99320],0.84213257
[9220],[59376],0.9944645
[4553],[52916],0.9025966
[12052],[105496],0.986497
[7721],[97120],0.92875916
[70207],[59893],0.51577145
[91694],[57096],0.99593955
[81663],[4497],0.9823165
[10915],[5763],0.621893
[26146],[44133],0.8881243
[23276],[15747],0.6737946
[27919],[103165],0.9995428
[35227],[18267],0.70778
[98945],[1942],0.7525487
[19742],[103027],0.5553937
[11564],[25926],0.8446701
[95371],[49892],0.9963364
[15451],[52040],0.68214977
[80034],[48555],0.5546009
[71654],[17282],0.841758
[91562],[13030],0.53003705
[24805],[55426],0.9776604
[91735],[10549],0.6617229
[30933],[3826],0.6727413
[96627],[3139],0.6981811
[34599],[63750],0.9270762
[9576],[37868],0.58847076
[17166],[35503],0.6084769
[5214],[97920],0.910612
[38271],[39984],0.8035765
[97155],[73331],0.94267863
[7680],[3690],0.58379906
[80034],[13908],0.5340568
[14235],[14135],0.9416693
[11002],[56109],0.80193913
[8323],[53858],0.9540042
[27503],[96551],0.9502721
[17796],[105573],0.9037769
[18522],[44824],0.5682913
[2989],[15570],0.6559238
[4747],[14996],0.96768945
[26146],[48375],0.8949374
[18429],[8392],0.92575616
[99855],[16140],0.6395518
[51580],[29117],0.73293346
[11546],[26353],0.98048574
[68894],[41369],0.9740662
[5214],[104481],0.99944013
[10059],[87408],0.5176404
[7107],[100439],0.654648
[26898],[82392],0.99562013
[25148],[45658],0.7851903
[7113],[68160],0.95926684
[42817],[6732],0.75861776
[15413],[21342],0.531737
[10915],[20253],0.79016846
[57967],[25201],0.51391935
[2527],[38794],0.7025965
[11415],[103639],0.7767555
[11466],[23348],0.96579456
[80034],[2708],0.8525605
[9830],[6576],0.9625751
[22585],[20940],0.94322383
[4879],[95192],0.80166566
[11887],[63382],0.5398424
[67604],[98407],0.55781096
[6702],[55639],0.98901194
[36024],[9576],0.75790447
