drug1,drug2,score
[17558],[17457],0.77142644
[96507],[102707],0.5602122
[95073],[60225],0.5953074
[24805],[1139],0.9513316
[15539],[19437],0.972208
[40183],[99593],0.7828032
[30243],[28307],0.91092247
[71138],[12460],0.92113996
[33148],[34944],0.8676574
[13472],[11843],0.5088336
[41398],[47004],0.5149524
[11735],[34978],0.6922185
[95059],[10897],0.6884127
[41301],[17004],0.78555506
[27919],[103165],0.98695654
[40128],[14904],0.983782
[65982],[37428],0.99603003
[68553],[73354],0.703584
[57239],[7491],0.794
[36382],[95766],0.61180145
[15770],[20780],0.92713684
[26246],[25926],0.9062304
[4553],[43492],0.9941002
[6383],[19670],0.9977114
[18329],[101963],0.974779
[9936],[11798],0.6812246
[42754],[96158],0.5207483
[100534],[45753],0.99517655
[15270],[49892],0.97805834
[1267],[34978],0.9783778
[97845],[9576],0.8298272
[53858],[54643],0.9282304
[44682],[43492],0.85411716
[72764],[51492],0.99388963
[52432],[19583],0.95117277
[9602],[9220],0.91406876
[97663],[14472],0.96712154
[35227],[14885],0.7968748
[59726],[9971],0.73999023
[12917],[14675],0.63547033
[39362],[96262],0.9928631
[38204],[36146],0.9820941
[25994],[7821],0.767899
[57358],[99347],0.95003486
[9602],[8825],0.6358399
[80034],[13908],0.6190535
[36107],[103683],0.7234169
[69739],[24207],0.7450497
[8064],[31201],0.67098546
[12368],[13724],0.53739053
[87472],[5792],0.9275046
[40372],[27299],0.9618105
[14996],[15156],0.93158364
[9012],[25431],0.9288981
[96950],[80598],0.55764323
[15120],[74081],0.6412638
[17004],[15413],0.7114331
[13472],[96848],0.6601564
[25393],[3515],0.98292977
[13499],[19437],0.9282363
[18329],[57953],0.9694286
[87265],[20402],0.9584321
[59501],[29379],0.9939635
[3305],[14385],0.9030066
[20563],[92113],0.5384836
[39886],[19791],0.9724689
[106212],[50570],0.8817057
[42302],[2505],0.8429558
[9536],[19132],0.78644025
[19155],[55860],0.9642017
[25536],[11039],0.98180556
[11415],[32252],0.78915066
[15175],[17319],0.9707466
[11099],[39290],0.9381927
[104342],[5254],0.5084856
[1572],[7994],0.8812004
[5254],[12991],0.9328538
[12679],[93819],0.9951856
[20780],[4747],0.53970015
[6002],[20431],0.55256075
[39527],[73838],0.6896048
[7882],[20431],0.96134895
[31154],[102346],0.5560424
[18267],[67143],0.98899394
[13967],[75071],0.66306984
[39555],[3275],0.98977464
[48146],[12424],0.65435493
[15032],[37791],0.99415106
[17166],[36218],0.6746576
[1416],[19500],0.9911532
[15214],[13030],0.59553355
[3275],[93987],0.94279766
[68553],[13789],0.94655985
[73931],[20732],0.6485353
[38171],[13567],0.61321515
[19394],[19113],0.77191234
[23276],[106483],0.8522585
[59376],[20402],0.9995833
[17525],[18114],0.6667107
[14842],[46266],0.9636255
[41232],[103525],0.99759036
[5792],[13195],0.6430769
[12424],[78985],0.78773475
[11433],[8676],0.6593357
[12960],[50421],0.96075773
[58503],[22424],0.95652676
[6619],[105102],0.59081745
[15064],[91562],0.999879
[5148],[99292],0.9998513
[12204],[38016],0.93308616
[67519],[36440],0.5619194
[9012],[10315],0.6963888
[9830],[6576],0.99810785
[35472],[15120],0.8554883
[7313],[39819],0.9991032
[12052],[105496],0.92923313
[27403],[34944],0.5765005
[50252],[36440],0.99933696
[68876],[7444],0.6148879
[54263],[10915],0.5916295
[15432],[18031],0.5703191
[17907],[39527],0.9999175
[14766],[10411],0.93935436
[36382],[102151],0.9930965
[48480],[13622],0.9943241
[102297],[82954],0.8768829
[14059],[48163],0.98948276
[10878],[25536],0.97976553
[8186],[17952],0.98844445
[15913],[19155],0.85390615
[93321],[26815],0.9813639
[8098],[103165],0.77939564
[20595],[70207],0.94461465
[38016],[52746],0.79971135
[2868],[5036],0.5809505
[8676],[17227],0.97247094
[103448],[7113],0.9878448
[101899],[21342],0.55628455
[75512],[44229],0.8928289
[11228],[33148],0.9762926
[92079],[17340],0.8860498
[104481],[20431],0.91951764
